Airport,City,CountOfFlights,IATA,Latitude,Longitude,PathId,PointOrder
Charlotte Douglas International Airport,"Charlotte, NC",111,CLT,35.2140007019043,-80.94309997558594,724,0
Salt Lake City International Airport,"Salt Lake City, UT",0,SLC,40.78839874267578,-111.97799682617188,724,1
Charlotte Douglas International Airport,"Charlotte, NC",42,CLT,35.2140007019043,-80.94309997558594,725,0
Sacramento International Airport,"Sacramento, CA",0,SMF,38.69540023803711,-121.59100341796876,725,1
Charlotte Douglas International Airport,"Charlotte, NC",226,CLT,35.2140007019043,-80.94309997558594,726,0
Lambert St Louis International Airport,"St. Louis, MO",0,STL,38.74869918823242,-90.37000274658205,726,1
Charlotte Douglas International Airport,"Charlotte, NC",67,CLT,35.2140007019043,-80.94309997558594,727,0
Cyril E. King Airport,"Charlotte Amalie, VI",0,STT,18.337299346923828,-64.97339630126953,727,1
Charlotte Douglas International Airport,"Charlotte, NC",8,CLT,35.2140007019043,-80.94309997558594,728,0
Henry E Rohlsen Airport,"Christiansted, VI",0,STX,17.701900482177734,-64.79859924316406,728,1
Charlotte Douglas International Airport,"Charlotte, NC",99,CLT,35.2140007019043,-80.94309997558594,729,0
Syracuse Hancock International Airport,"Syracuse, NY",0,SYR,43.11119842529297,-76.1063003540039,729,1
Charlotte Douglas International Airport,"Charlotte, NC",498,CLT,35.2140007019043,-80.94309997558594,730,0
Tampa International Airport,"Tampa, FL",0,TPA,27.975500106811523,-82.533203125,730,1
Charlotte Douglas International Airport,"Charlotte, NC",26,CLT,35.2140007019043,-80.94309997558594,731,0
Trenton Mercer Airport,"Trenton, NJ",0,TTN,40.27669906616211,-74.8134994506836,731,1
Port Columbus International Airport,"Columbus, OH",586,CMH,39.99800109863281,-82.89189910888672,732,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,732,1
Port Columbus International Airport,"Columbus, OH",102,CMH,39.99800109863281,-82.89189910888672,733,0
Nashville International Airport,"Nashville, TN",0,BNA,36.1245002746582,-86.6781997680664,733,1
Port Columbus International Airport,"Columbus, OH",93,CMH,39.99800109863281,-82.89189910888672,734,0
General Edward Lawrence Logan International Airport,"Boston, MA",0,BOS,42.36429977,-71.00520325,734,1
Port Columbus International Airport,"Columbus, OH",165,CMH,39.99800109863281,-82.89189910888672,735,0
Baltimore/Washington International Thurgood Marshall Airport,"Baltimore, MD",0,BWI,39.17539978,-76.66829681,735,1
Port Columbus International Airport,"Columbus, OH",59,CMH,39.99800109863281,-82.89189910888672,736,0
Dallas Love Field,"Dallas, TX",0,DAL,32.84709930419922,-96.85179901123048,736,1
Port Columbus International Airport,"Columbus, OH",110,CMH,39.99800109863281,-82.89189910888672,737,0
Ronald Reagan Washington National Airport,"Washington, DC",0,DCA,38.8521,-77.037697,737,1
Port Columbus International Airport,"Columbus, OH",143,CMH,39.99800109863281,-82.89189910888672,738,0
Denver International Airport,"Denver, CO",0,DEN,39.861698150635,-104.672996521,738,1
Port Columbus International Airport,"Columbus, OH",216,CMH,39.99800109863281,-82.89189910888672,739,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,739,1
Port Columbus International Airport,"Columbus, OH",95,CMH,39.99800109863281,-82.89189910888672,740,0
Detroit Metropolitan Wayne County Airport,"Detroit, MI",0,DTW,42.212398529052734,-83.35340118408203,740,1
Port Columbus International Airport,"Columbus, OH",146,CMH,39.99800109863281,-82.89189910888672,741,0
Newark Liberty International Airport,"Newark, NJ",0,EWR,40.69250106811523,-74.168701171875,741,1
Port Columbus International Airport,"Columbus, OH",59,CMH,39.99800109863281,-82.89189910888672,742,0
Fort Lauderdale Hollywood International Airport,"Fort Lauderdale, FL",0,FLL,26.072599411010746,-80.15270233154297,742,1
Port Columbus International Airport,"Columbus, OH",121,CMH,39.99800109863281,-82.89189910888672,743,0
George Bush Intercontinental Houston Airport,"Houston, TX",0,IAH,29.98439979553223,-95.34140014648438,743,1
Port Columbus International Airport,"Columbus, OH",177,CMH,39.99800109863281,-82.89189910888672,744,0
McCarran International Airport,"Las Vegas, NV",0,LAS,36.08010101,-115.15200039999999,744,1
Port Columbus International Airport,"Columbus, OH",97,CMH,39.99800109863281,-82.89189910888672,745,0
Los Angeles International Airport,"Los Angeles, CA",0,LAX,33.94250107,-118.40799709999999,745,1
Port Columbus International Airport,"Columbus, OH",85,CMH,39.99800109863281,-82.89189910888672,746,0
La Guardia Airport,"New York, NY",0,LGA,40.77719879,-73.87259674,746,1
Port Columbus International Airport,"Columbus, OH",256,CMH,39.99800109863281,-82.89189910888672,747,0
Orlando International Airport,"Orlando, FL",0,MCO,28.429399490356445,-81.30899810791016,747,1
Port Columbus International Airport,"Columbus, OH",263,CMH,39.99800109863281,-82.89189910888672,748,0
Chicago Midway International Airport,"Chicago, IL",0,MDW,41.7859992980957,-87.75240325927734,748,1
Port Columbus International Airport,"Columbus, OH",85,CMH,39.99800109863281,-82.89189910888672,749,0
Minneapolis-St Paul International/Wold-Chamberlain Airport,"Minneapolis, MN",0,MSP,44.8819999695,-93.22180175780001,749,1
Port Columbus International Airport,"Columbus, OH",59,CMH,39.99800109863281,-82.89189910888672,750,0
Metropolitan Oakland International Airport,"Oakland, CA",0,OAK,37.72129821777344,-122.22100067138672,750,1
Port Columbus International Airport,"Columbus, OH",135,CMH,39.99800109863281,-82.89189910888672,751,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,751,1
Port Columbus International Airport,"Columbus, OH",179,CMH,39.99800109863281,-82.89189910888672,752,0
Phoenix Sky Harbor International Airport,"Phoenix, AZ",0,PHX,33.43429946899414,-112.01200103759766,752,1
Port Columbus International Airport,"Columbus, OH",126,CMH,39.99800109863281,-82.89189910888672,753,0
Southwest Florida International Airport,"Fort Myers, FL",0,RSW,26.53619956970215,-81.75520324707031,753,1
Port Columbus International Airport,"Columbus, OH",101,CMH,39.99800109863281,-82.89189910888672,754,0
Lambert St Louis International Airport,"St. Louis, MO",0,STL,38.74869918823242,-90.37000274658205,754,1
Port Columbus International Airport,"Columbus, OH",127,CMH,39.99800109863281,-82.89189910888672,755,0
Tampa International Airport,"Tampa, FL",0,TPA,27.975500106811523,-82.533203125,755,1
Houghton County Memorial Airport,"Hancock/Houghton, MI",118,CMX,47.16839981079102,-88.48909759521484,756,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,756,1
Yellowstone Regional Airport,"Cody, WY",117,COD,44.520198822,-109.024002075,757,0
Salt Lake City International Airport,"Salt Lake City, UT",0,SLC,40.78839874267578,-111.97799682617188,757,1
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",45,COS,38.805801391602,-104.70099639893,758,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,758,1
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",415,COS,38.805801391602,-104.70099639893,759,0
Denver International Airport,"Denver, CO",0,DEN,39.861698150635,-104.672996521,759,1
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",216,COS,38.805801391602,-104.70099639893,760,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,760,1
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",92,COS,38.805801391602,-104.70099639893,761,0
George Bush Intercontinental Houston Airport,"Houston, TX",0,IAH,29.98439979553223,-95.34140014648438,761,1
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",54,COS,38.805801391602,-104.70099639893,762,0
McCarran International Airport,"Las Vegas, NV",0,LAS,36.08010101,-115.15200039999999,762,1
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",107,COS,38.805801391602,-104.70099639893,763,0
Los Angeles International Airport,"Los Angeles, CA",0,LAX,33.94250107,-118.40799709999999,763,1
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",59,COS,38.805801391602,-104.70099639893,764,0
Orlando International Airport,"Orlando, FL",0,MCO,28.429399490356445,-81.30899810791016,764,1
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",165,COS,38.805801391602,-104.70099639893,765,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,765,1
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",58,COS,38.805801391602,-104.70099639893,766,0
Phoenix Sky Harbor International Airport,"Phoenix, AZ",0,PHX,33.43429946899414,-112.01200103759766,766,1
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",59,COS,38.805801391602,-104.70099639893,767,0
Seattle Tacoma International Airport,"Seattle, WA",0,SEA,47.44900131225586,-122.30899810791016,767,1
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",111,COS,38.805801391602,-104.70099639893,768,0
Salt Lake City International Airport,"Salt Lake City, UT",0,SLC,40.78839874267578,-111.97799682617188,768,1
Casper-Natrona County International Airport,"Casper, WY",7,CPR,42.90800095,-106.4639969,769,0
Denver International Airport,"Denver, CO",0,DEN,39.861698150635,-104.672996521,769,1
Casper-Natrona County International Airport,"Casper, WY",114,CPR,42.90800095,-106.4639969,770,0
Salt Lake City International Airport,"Salt Lake City, UT",0,SLC,40.78839874267578,-111.97799682617188,770,1
Corpus Christi International Airport,"Corpus Christi, TX",39,CRP,27.77039909362793,-97.5011978149414,771,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,771,1
Corpus Christi International Airport,"Corpus Christi, TX",218,CRP,27.77039909362793,-97.5011978149414,772,0
William P Hobby Airport,"Houston, TX",0,HOU,29.64539909,-95.27890015,772,1
Corpus Christi International Airport,"Corpus Christi, TX",1,CRP,27.77039909362793,-97.5011978149414,773,0
Valley International Airport,"Harlingen/San Benito, TX",0,HRL,26.228500366210934,-97.65440368652344,773,1
Corpus Christi International Airport,"Corpus Christi, TX",147,CRP,27.77039909362793,-97.5011978149414,774,0
George Bush Intercontinental Houston Airport,"Houston, TX",0,IAH,29.98439979553223,-95.34140014648438,774,1
Yeager Airport,"Charleston/Dunbar, WV",260,CRW,38.37310028076172,-81.59320068359375,775,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,775,1
Yeager Airport,"Charleston/Dunbar, WV",50,CRW,38.37310028076172,-81.59320068359375,776,0
George Bush Intercontinental Houston Airport,"Houston, TX",0,IAH,29.98439979553223,-95.34140014648438,776,1
Yeager Airport,"Charleston/Dunbar, WV",58,CRW,38.37310028076172,-81.59320068359375,777,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,777,1
Columbus Metropolitan Airport,"Columbus, GA",162,CSG,32.516300201416016,-84.93890380859375,778,0
